ProtocolName	ShortName	RepetitionTime	RepetitionTime_alt	EchoTime	EchoTime_alt	FlipAngle	FlipAngle_alt	ImageOrientation	AcquisitionMatrixPE	AcquisitionMatrixPE_alt	ReconMatrixPE	ReconMatrixPE_alt	PixelBandwidth	PixelBandwidth_alt	PhaseEncodingSteps	PhaseEncodingSteps_alt	PercentSampling	PercentSampling_alt	MultibandAccelerationFactor	MultibandAccelerationFactor_alt	InversionTime	InversionTime_alt	group	MagneticFieldStrength
T1 MPR SAG 0.9 MM_RECON TRANS AND COR	MPRAGE	2.05		0.002		9.0		PSR+	256.0		256.0		180.0	179.0	319.0		100.0		192.0		1.05		T1w	3.0T
COR DE STIR	STIR	9.0	8.0	0.039	0.137				205.0		256.0		250.0		210.0	205.0					0.18		T1w	3.0T
T2_TIRM_TRA_DARK-FLUID	TIRMDARK	9.0		0.128		150.0		LAS+	182.0	175.0	182.0	175.0	290.0	200.0	192.0	176.0	70.0				2.5	2.44	T2w	3.0T
T2_TSE_TRA 384	TSE	6.4		0.099		150.0		LAS+	307.0	384.0	384.0	250.0	205.0		307.0	383.0	80.0	100.0					T2w	3.0T
T2_TSE_COR 384	TSE	6.37		0.095		150.0		LSP+	384.0	336.0	768.0	336.0	205.0		383.0	335.0	100.0						T2w	3.0T
T2_TIRM_COR_DARK-FLUID	TIRMDARK	9.0		0.124		150.0		LSP+	189.0	196.0	189.0	196.0	220.0	200.0	192.0	210.0	70.0				2.5	2.44	T2w	3.0T
T2_TSE_TRA_P2	TSEP2	5.0		0.088		160.0	150.0	LAS+	384.0		384.0		180.0	181.0	461.0	359.0	100.0						T2w	3.0T
T2_TSE_COR_P2	TSEP2	5.0		0.088		120.0		LSP+	384.0	320.0	384.0	320.0	180.0	181.0	461.0	383.0	100.0						T2w	3.0T
T2_TSE_COR	TSE	6.0	5.0	0.067		165.0	170.0	LSP+	358.0		448.0		180.0	205.0	363.0	362.0	80.0						T2w	3.0T
T2_TSE_DARK-FLUID_TRA_P2_256	TSEDARKP2	8.0	9.0	0.119		150.0		LAS+	219.0	220.0	219.0	220.0	285.0		274.0	219.0	98.0				2.37		T2w	3.0T
T2_TSE3DVFL_0.9	TSE3DVFL	3.0		0.51		120.0		LAS+	222.0		222.0		465.0		222.0	194.0	99.107		144.0	160.0	2.5		T2w	3.0T
T2_TSE3DVFL_	TSE3DVFL	3.0		0.51		120.0		LAS+	222.0		222.0		465.0		222.0	194.0	99.107		144.0	160.0			T2w	3.0T
AX T2 FRFSE	FRFSE	6.0		0.103		150.0	142.0	LAS+	320.0		512.0		195.312	162.773			100.0						T2w	3.0T
T2_TSE_COR 384_REC_3MM	TSE	6.4		0.095		150.0		LSP+	250.0		250.0		205.0		250.0		80.0						T2w	3.0T
T2_TIRM_TRA_DARK-FLUID_4MM	TIRMDARK	8.5	7.97	0.119		150.0		LAS+	180.0	194.0	180.0	194.0	285.0		179.0	194.0	90.0				2.44		T2w	3.0T
